achat_id,client_id,produit,categorie,quantite,prix_unitaire,montant_total,date_achat,statut,mode_paiement
206,145,Laptop Pro,Électronique,2,1227.33,2454.66,2025-08-06,livré,carte
207,74,Clavier Mécanique,Accessoires,2,131.7,263.4,2024-12-18,livré,virement
208,1173,Écouteurs Sans Fil,Électronique,1,201.71,201.71,2024-03-30,livré,virement
209,86,Hub USB,Accessoires,1,65.87,65.87,2025-10-06,livré,carte
210,9,Hub USB,Accessoires,1,64.34,64.34,2025-07-30,livré,paypal
211,241,Webcam HD,Accessoires,1,94.27,94.27,2024-07-30,annulé,carte
212,1250,Support Laptop,Accessoires,1,46.38,46.38,2025-08-13,livré,carte
213,1168,Chargeur Rapide,Accessoires,1,40.76,40.76,2024-11-26,livré,carte
214,600,Disque SSD 2To,Stockage,1,207.18,207.18,2024-02-07,en cours,carte
215,106,Smartphone X,Électronique,5,966.06,4830.3,2025-02-20,livré,carte
216,83,Webcam HD,Accessoires,2,93.16,186.32,2024-03-29,livré,carte
217,551,Support Laptop,Accessoires,1,45.75,45.75,2026-01-01,livré,paypal
218,570,Chargeur Rapide,Accessoires,1,39.89,39.89,2025-09-17,en cours,carte
219,191,Hub USB,Accessoires,1,62.36,62.36,2024-04-16,livré,virement
220,880,Souris Gaming,Accessoires,1,77.16,77.16,2025-06-23,livré,carte
221,268,Enceinte Bluetooth,Audio,3,84.6,253.8,2024-04-21,annulé,carte
222,118,Laptop Pro,Électronique,1,1392.98,1392.98,2024-09-30,livré,paypal
223,110,Souris Gaming,Accessoires,5,86.54,432.7,2024-12-15,annulé,carte
224,71,Tablette Air,Électronique,1,570.04,570.04,2025-02-27,livré,carte
225,79,Webcam HD,Accessoires,1,82.63,82.63,2025-12-06,livré,carte
226,20,Montre Connectée,Électronique,1,351.35,351.35,2025-12-26,livré,carte
227,88,Écouteurs Sans Fil,Électronique,5,196.88,984.4,2025-12-30,livré,paypal
228,99,Tablette Air,Électronique,2,552.28,1104.56,2024-06-01,livré,carte
229,281,Coque Protection,Accessoires,2,31.51,63.02,2025-09-10,livré,carte
230,145,Laptop Pro,Électronique,1,1212.66,1212.66,2025-10-28,livré,carte
231,311,Support Laptop,Accessoires,1,49.41,49.41,2025-01-27,livré,carte
232,287,Écouteurs Sans Fil,Électronique,1,195.35,195.35,2024-05-02,livré,carte
233,508,Disque SSD 1To,Stockage,1,104.45,104.45,2025-05-31,en cours,virement
234,584,Laptop Pro,Électronique,2,1341.18,2682.36,2025-08-09,livré,carte
235,1044,Souris Gaming,Accessoires,2,76.72,153.44,2024-06-13,livré,carte
236,231,Webcam HD,Accessoires,1,91.68,91.68,2025-07-17,en cours,carte
237,649,Montre Connectée,Électronique,1,373.72,373.72,2025-02-07,livré,carte
238,354,Écran 27 pouces,Électronique,4,421.62,1686.48,2025-08-12,livré,virement
239,68,Souris Gaming,Accessoires,1,72.96,72.96,2025-03-06,livré,virement
240,129,Support Laptop,Accessoires,1,49.01,49.01,2025-02-10,annulé,virement
241,313,Disque SSD 1To,Stockage,1,100.73,100.73,2024-02-23,livré,carte
242,801,Enceinte Bluetooth,Audio,1,85.34,85.34,2025-02-12,annulé,carte
243,896,Webcam HD,Accessoires,1,82.54,82.54,2025-02-17,livré,carte
244,1247,Smartphone X,Électronique,1,943.49,943.49,2025-06-10,annulé,carte
245,36,Laptop Pro,Électronique,1,1417.77,1417.77,2026-01-17,en cours,virement
246,1477,Disque SSD 1To,Stockage,1,101.78,101.78,2024-05-20,livré,carte
247,61,Câble USB-C,Accessoires,2,19.08,38.16,2024-05-15,livré,carte
248,1181,Tablette Air,Électronique,1,601.28,601.28,2025-05-31,livré,paypal
249,342,Chargeur Rapide,Accessoires,1,42.18,42.18,2025-04-28,en cours,carte
250,131,Laptop Pro,Électronique,1,1394.35,1394.35,2025-10-08,livré,carte
251,785,Montre Connectée,Électronique,1,382.21,382.21,2024-07-03,livré,virement
252,1463,Support Laptop,Accessoires,1,47.47,47.47,2025-11-30,annulé,carte
253,20,Enceinte Bluetooth,Audio,1,80.02,80.02,2025-06-26,livré,carte
254,133,Smartphone X,Électronique,4,822.4,3289.6,2025-02-18,livré,carte
255,637,Câble USB-C,Accessoires,1,19.82,19.82,2025-12-18,livré,carte
256,78,Casque Audio Pro,Audio,1,292.09,292.09,2024-11-24,livré,carte
257,1120,Webcam HD,Accessoires,1,97.77,97.77,2024-06-15,livré,carte
258,1303,Laptop Pro,Électronique,4,1170.37,4681.48,2024-02-24,annulé,paypal
259,1490,Disque SSD 2To,Stockage,1,191.12,191.12,2025-12-28,livré,paypal
260,123,Montre Connectée,Électronique,2,321.5,643.0,2024-11-08,livré,virement
261,763,Hub USB,Accessoires,4,55.01,220.04,2024-10-30,livré,virement
262,101,Tablette Air,Électronique,1,547.46,547.46,2025-02-04,annulé,carte
263,67,Câble USB-C,Accessoires,3,19.56,58.68,2024-11-22,annulé,carte
264,557,Webcam HD,Accessoires,1,84.64,84.64,2025-01-02,en cours,carte
265,43,Hub USB,Accessoires,1,58.87,58.87,2024-09-11,en cours,carte
266,426,Hub USB,Accessoires,1,57.17,57.17,2025-06-30,livré,carte
267,78,Casque Audio Pro,Audio,1,320.14,320.14,2024-08-26,livré,carte
268,64,Chargeur Rapide,Accessoires,1,36.38,36.38,2024-03-14,livré,carte
269,357,Laptop Pro,Électronique,4,1392.19,5568.76,2025-06-20,en cours,virement
270,119,Écouteurs Sans Fil,Électronique,2,185.58,371.16,2025-05-22,livré,carte
271,456,Montre Connectée,Électronique,1,343.03,343.03,2024-06-20,annulé,carte
272,531,Tablette Air,Électronique,1,547.73,547.73,2025-07-09,annulé,paypal
273,189,Câble USB-C,Accessoires,1,21.76,21.76,2025-03-29,livré,carte
274,888,Coque Protection,Accessoires,1,29.29,29.29,2024-03-08,livré,carte
275,384,Disque SSD 1To,Stockage,1,118.42,118.42,2025-07-25,livré,virement
276,504,Disque SSD 2To,Stockage,1,204.53,204.53,2024-05-01,livré,carte
277,99,Montre Connectée,Électronique,1,359.98,359.98,2025-01-05,en cours,carte
278,1114,Laptop Pro,Électronique,5,1373.29,6866.45,2024-05-16,livré,paypal
279,993,Chargeur Rapide,Accessoires,3,40.01,120.03,2025-12-30,livré,carte
280,82,Casque Audio Pro,Audio,1,323.74,323.74,2026-01-02,livré,carte
281,967,Imprimante Laser,Électronique,1,254.19,254.19,2026-01-04,livré,carte
282,62,Disque SSD 1To,Stockage,1,116.4,116.4,2024-10-31,annulé,carte
283,450,Enceinte Bluetooth,Audio,2,84.75,169.5,2024-05-15,livré,carte
284,82,Chargeur Rapide,Accessoires,3,36.22,108.66,2024-11-21,annulé,carte
285,1155,Montre Connectée,Électronique,1,328.17,328.17,2025-03-27,livré,virement
286,1005,Smartphone X,Électronique,1,851.86,851.86,2024-07-19,livré,carte
287,2,Câble USB-C,Accessoires,3,18.8,56.4,2024-10-02,livré,carte
288,663,Smartphone X,Électronique,1,915.58,915.58,2024-07-03,livré,carte
289,748,Tablette Air,Électronique,1,653.02,653.02,2025-12-13,livré,virement
290,78,Câble USB-C,Accessoires,1,18.62,18.62,2024-05-01,livré,paypal
291,357,Routeur WiFi 6,Réseau,1,162.85,162.85,2024-11-08,livré,carte
292,360,Coque Protection,Accessoires,1,31.12,31.12,2025-07-03,livré,carte
293,1438,Enceinte Bluetooth,Audio,1,87.9,87.9,2025-03-23,en cours,carte
294,82,Casque Audio Pro,Audio,1,303.92,303.92,2025-05-25,livré,carte
295,160,Webcam HD,Accessoires,1,86.74,86.74,2024-06-18,annulé,carte
296,1373,Câble USB-C,Accessoires,1,19.05,19.05,2024-05-03,livré,carte
297,222,Laptop Pro,Électronique,1,1283.93,1283.93,2024-08-08,livré,carte
298,1010,Coque Protection,Accessoires,1,29.24,29.24,2024-09-15,livré,virement
299,1408,Webcam HD,Accessoires,1,82.32,82.32,2025-04-29,livré,carte
300,67,Écouteurs Sans Fil,Électronique,1,186.79,186.79,2025-02-03,livré,carte
301,1121,Tablette Air,Électronique,1,658.22,658.22,2025-02-06,livré,carte
302,1339,Clavier Mécanique,Accessoires,1,128.28,128.28,2025-08-06,livré,carte
303,390,Support Laptop,Accessoires,1,52.21,52.21,2025-04-01,annulé,virement
304,73,Disque SSD 2To,Stockage,1,172.88,172.88,2024-07-07,en cours,virement
305,315,Smartphone X,Électronique,1,886.96,886.96,2024-12-05,livré,virement
306,199,Laptop Pro,Électronique,1,1335.92,1335.92,2025-09-12,livré,paypal
307,632,Coque Protection,Accessoires,1,32.36,32.36,2025-02-18,livré,carte
308,794,Clavier Mécanique,Accessoires,1,126.91,126.91,2025-04-09,livré,paypal
309,113,Hub USB,Accessoires,1,64.03,64.03,2024-05-11,en cours,carte
310,25,Tablette Air,Électronique,1,636.97,636.97,2025-10-24,livré,virement
311,16,Coque Protection,Accessoires,2,29.5,59.0,2025-07-24,en cours,paypal
312,483,Écran 27 pouces,Électronique,1,391.57,391.57,2025-06-29,annulé,carte
313,1059,Enceinte Bluetooth,Audio,1,81.91,81.91,2025-10-20,livré,paypal
314,43,Souris Gaming,Accessoires,2,74.01,148.02,2025-12-14,livré,carte
315,892,Souris Gaming,Accessoires,5,82.03,410.15,2024-02-18,en cours,carte
316,1490,Tablette Air,Électronique,1,606.75,606.75,2025-09-23,en cours,carte
317,1065,Hub USB,Accessoires,3,54.14,162.42,2024-07-24,annulé,virement
318,860,Écouteurs Sans Fil,Électronique,1,185.92,185.92,2025-04-22,en cours,virement
319,206,Écouteurs Sans Fil,Électronique,1,184.03,184.03,2024-11-26,livré,virement
320,842,Disque SSD 1To,Stockage,1,109.67,109.67,2024-05-22,en cours,paypal
321,71,Coque Protection,Accessoires,1,30.64,30.64,2025-06-21,annulé,paypal
322,85,Webcam HD,Accessoires,1,89.54,89.54,2025-10-13,livré,carte
323,78,Disque SSD 2To,Stockage,1,189.67,189.67,2025-01-10,annulé,carte
324,467,Montre Connectée,Électronique,1,367.05,367.05,2024-08-19,livré,carte
325,1239,Tablette Air,Électronique,1,565.36,565.36,2025-02-05,livré,paypal
326,766,Smartphone X,Électronique,1,838.61,838.61,2024-03-24,livré,virement
327,1074,Enceinte Bluetooth,Audio,1,75.07,75.07,2025-07-07,livré,carte
328,117,Smartphone X,Électronique,3,936.82,2810.46,2025-12-21,livré,carte
329,1035,Coque Protection,Accessoires,1,27.73,27.73,2025-10-13,livré,carte
330,1217,Hub USB,Accessoires,1,64.44,64.44,2024-07-14,en cours,virement
331,335,Disque SSD 1To,Stockage,2,114.14,228.28,2025-10-02,livré,carte
